name, position, company, hirefor, location
Aakash Harit,HR Manager,Data Science Network,Classic ASP Developer; Internet Marketing Professional; Data Science SME; Content Writers; SEO Professional; Revenue Professional,Delhi
shravan Kumar Gaddam,Company Recruiter,Shore Infotech India Pvt. Ltd,.Net; Java; Data Science; Linux Administration; Sql Server Development; Winforms; Wcf Services; Wpf; Telecom Engineering; Technical Management; Software,Hyderabad / Secunderabad
Talent Acquisition Executive,Recruitment Professional,XenonStack,Web Designing; html5; Angular.js; seo; hadoop; Cloud Computing; python; Iphone Development; java; Machine Learning; aws; analytics; linux; puppet,Chandigarh
Anik Agrawal,Company Recruiter,Enerlytics Software Solutions Pvt Ltd,Mean Stack; javascript; angularjs; mongodb; Web Services; rest; express; Node.js; Big Data; iot; Data Science; Cloud Computing; saas; Aws,Ahmedabad
MARSIAN Technologies LLP,Company HR,MARSIAN Technologies LLP,Data Science; Artificial Intelligence; Machine Learning; Business Analytics,Pune
subhas patel,Founder CEO,LibraryXProject,Hadoop; Spark; Digital Strategy; Data Architecture; Command Center; Cdp; Dmp; Kafka; Data Science; Data Analysis; Big Data Analytics; Real Time Analysis; SQL,UK - (london)
Jitendra Singh,Manager- Talent Acquisition,Compunnel Technology India Pvt. Ltd,Python; Data Science; .Net; Java; Big Data; Data Analytics; Business Intelligence; Msbi; Aws; Microsoft Azure; Devops,Delhi
Abhishek - Only Analytics Hiring - India and,Recruitment Lead Consultant,Apidel Technologies Division of Transpower,Analytics; Business Intelligence; Business Analytics; Predictive Modeling; Predictive Analytics; Data Science; Data Analysis; Data Analytics; Big Data; Big,Vadodara / Baroda
Institute for Financial Management and Resear,Programme Manager,IFMR,Data Science,Chennai
Balu Ramesh,HR Administrator,Techvantage Systems Pvt Ltd,Machine Learning; algorithms; Go Getter; Computer Science; spark; Big Data; hdfs; sql; cassandra; hadoop; python; scala; java; Data Science; Front End,Trivandrum
Asif Lucknowi,Director,Weupskill- Live Wire India,Technical Training; Software Development; Presentation Skills; B.tech; M.tech; B.e.; mca; msc; Computer Science; freshers; jobs in indore; Data Science; itil,Indore
InstaFinancials,Human Resource,CBL Data Science Private Limited,Software Development; It Sales; Account Management; Data Analysis; Customer Service; Sr; Software Engineering; Mvc; Ajax; Asp.net; Html; C#; Javascript,Bengaluru / Bangalore
Kalpana Dumpala,Executive Hiring,Innominds Software,Qa; Ui/ux; Java Developer; Java Architect; C++/qt; Php; Lamp; Api; J2ee; Java; Soa; Esb; Middleware; Bigdata Achitect; Hadoop Architect; Deep,Hyderabad / Secunderabad
Mubarak,Company HR,MoneyTap,Business Intelligence; Data Warehousing; Data Science; Business Analytics; Customer Support; Business Reporting; Bi,Bengaluru / Bangalore
Kushal Rastogi,Company HR,QuantMagnum Technologies Pvt. Ltd.,Office Administration; Hr Administration; telecalling; client relationship management; Client Acquisition; Sales; Reception; HR; Recruitment; Onboarding; Human,Mumbai
Manisha Yadav,HR Executive,Easi Tax,Telecalling; Client Interaction; Marketing; Research; Web Development; Social Media Marketing; Data Entry Operation; Excel; Ms Office; Invoicing,Navi Mumbai
Kapil Devang,HR Manager,BISP Solutions,Big Data; Hadoop; Data Analytics; Data Science,Bhopal
Riya Rajesh,Manager Talent Acquisition,Novelworx Digital Solutions,Data Science,Cochin
Rakhi,Recruitment Consultant,Walkingtext Private Limited,Ites; Data Science; Cloud; Iot,Bengaluru / Bangalore
Mahesh Babu Channa,HR Team Lead,SocialPrachar.com,Social Media; digital media maketing; seo; smm; smo; sem; Content Wirting; social media marketing; social media manager; digital media marketing manager,Hyderabad / Secunderabad
Rashmi Bhattacharjee,HR Head,AXESTRACK SOFTWARE SOLUTIONS PRIVATE...,Corporate Sales; Software Development; Software Sales; Marketing; Creative Designing; Corporate Planning; Senior Management; Crm; Client Relationship,Delhi
